The data supplied is licensed under a Creative Commons Attribution 4.0 licence. ,,,,
To view a copy of this licence visit:,,,,
http://creativecommons.org/licenses/by/4.0,,,,
,,,,
Licence:,,,,
This work is licensed under a Creative Commons Attribution 4.0 Licence: ,,,,
http://creativecommons.org/licenses/by/4.0/legalcode ,,,,
,,,,
You are free:,,,,
,,,,
               1.to copy distribute display and perform the work,,,,
               2.to make derivative works,,,,
               3.to make commercial use of the work,,,,
,,,,
Under the following conditions:,,,,
,,,,
               1. You must give the original author credit.,,,,
"               2. Please attribute ""NSW Office of Environment and Heritage"" in any publications using this data.",,,,
,,,,
,,,,
Station Name, Cabbage Tree Creek Downstream (Live),,,
Station Number,214406,,,
Longitude,150.892547,,,
Latitude,-34.396809,,,
Web,http://www.mhl.nsw.gov.au/Site-214406,,,
Google Maps,"https://www.google.com.au/maps/place//@-34.396809,150.892547,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",,,
,,,,
Datum, AHD,,,
23/02/1999,0:00:00,4.030,161 (Data Loss),23/02/1999 0:00
24/02/1999,0:00:00,4.130,100 (Leost Code),24/02/1999 14:00
25/02/1999,0:00:00,4.040,161 (Data Loss),25/02/1999 0:00
26/02/1999,0:00:00,4.030,161 (Data Loss),26/02/1999 0:00
27/02/1999,0:00:00,4.030,161 (Data Loss),27/02/1999 0:00
28/02/1999,0:00:00,4.030,161 (Data Loss),28/02/1999 0:00
1/03/1999,0:00:00,4.030,161 (Data Loss),1/03/1999 0:00
2/03/1999,0:00:00,4.030,161 (Data Loss),2/03/1999 0:00
3/03/1999,0:00:00,4.030,161 (Data Loss),3/03/1999 0:00
4/03/1999,0:00:00,4.030,161 (Data Loss),4/03/1999 0:00
5/03/1999,0:00:00,4.030,161 (Data Loss),5/03/1999 0:00
6/03/1999,0:00:00,4.030,161 (Data Loss),6/03/1999 0:00
7/03/1999,0:00:00,4.030,161 (Data Loss),7/03/1999 0:00
8/03/1999,0:00:00,4.030,161 (Data Loss),8/03/1999 0:00
9/03/1999,0:00:00,4.030,161 (Data Loss),9/03/1999 0:00
10/03/1999,0:00:00,4.030,161 (Data Loss),10/03/1999 0:00
11/03/1999,0:00:00,4.030,161 (Data Loss),11/03/1999 0:00
12/03/1999,0:00:00,4.030,161 (Data Loss),12/03/1999 0:00
13/03/1999,0:00:00,4.030,161 (Data Loss),13/03/1999 0:00
14/03/1999,0:00:00,4.030,161 (Data Loss),14/03/1999 0:00
15/03/1999,0:00:00,4.030,161 (Data Loss),15/03/1999 0:00
