EventID, Duration, TimeStep, Region, AEP, Increments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6527,25,5,Southern Slopes (Tasmania),rare,28.51,13.14,9.23,14.67,34.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6570,25,5,Southern Slopes (Tasmania),rare,30.77,13.46,22.12,19.23,14.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6576,25,5,Southern Slopes (Tasmania),rare,9.02,25.2,21.12,18.46,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6580,25,5,Southern Slopes (Tasmania),rare,15.26,11.86,26.27,30.51,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6612,25,5,Southern Slopes (Tasmania),rare,24.49,28.57,18.37,9.18,19.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6641,25,5,Southern Slopes (Tasmania),rare,14.25,17.38,12.55,27.3,28.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6663,25,5,Southern Slopes (Tasmania),rare,21.7,38.68,6.6,6.6,26.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6664,25,5,Southern Slopes (Tasmania),rare,24.07,29.32,16.8,12.33,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6670,25,5,Southern Slopes (Tasmania),rare,11.66,31.67,26.67,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6671,25,5,Southern Slopes (Tasmania),rare,32.91,15.6,10.16,12.77,28.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6647,30,5,Southern Slopes (Tasmania),frequent,39.22,8.13,12.87,15.11,13.08,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6687,30,5,Southern Slopes (Tasmania),frequent,12.67,11.39,36.71,20.25,11.39,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6711,30,5,Southern Slopes (Tasmania),frequent,22.23,29.17,8.33,6.94,13.89,19.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6713,30,5,Southern Slopes (Tasmania),frequent,17.91,34.33,8.96,0,25.37,13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6714,30,5,Southern Slopes (Tasmania),frequent,15.57,15.42,17.03,23.23,12.29,16.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6716,30,5,Southern Slopes (Tasmania),frequent,10.02,15.28,20.09,19.47,18.62,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6717,30,5,Southern Slopes (Tasmania),frequent,11.02,17.09,22.2,24.65,15.75,9.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6718,30,5,Southern Slopes (Tasmania),frequent,7.32,12.27,21.86,21.26,20.79,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6719,30,5,Southern Slopes (Tasmania),frequent,23.54,4.41,2.94,11.76,29.41,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6720,30,5,Southern Slopes (Tasmania),frequent,16.69,13.81,10.7,13.81,21.92,23.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6535,30,5,Southern Slopes (Tasmania),intermediate,9.85,29.68,28.24,14.86,4.32,13.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6545,30,5,Southern Slopes (Tasmania),intermediate,13.93,22.95,27.05,11.48,13.93,10.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6588,30,5,Southern Slopes (Tasmania),intermediate,14.82,14.07,11.11,14.81,27.41,17.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6674,30,5,Southern Slopes (Tasmania),intermediate,11.39,17.72,21.52,15.19,18.99,15.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698,30,5,Southern Slopes (Tasmania),intermediate,19.15,29.26,9.05,0.37,11.73,30.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6703,30,5,Southern Slopes (Tasmania),intermediate,16.65,24.26,24.75,13.34,12.51,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6704,30,5,Southern Slopes (Tasmania),intermediate,10.2,21.7,33.82,16.32,7.59,10.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6707,30,5,Southern Slopes (Tasmania),intermediate,14.94,19.54,27.59,11.49,17.24,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6709,30,5,Southern Slopes (Tasmania),intermediate,22.69,18.47,13.09,24.94,13.37,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6710,30,5,Southern Slopes (Tasmania),intermediate,18.09,9.02,7.93,9.12,40.36,15.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6528,30,5,Southern Slopes (Tasmania),rare,20.14,22.78,10.49,7.37,11.71,27.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6541,30,5,Southern Slopes (Tasmania),rare,13.98,20.11,10.61,20.11,24.02,11.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6571,30,5,Southern Slopes (Tasmania),rare,20.32,7.32,26.02,11.38,18.7,16.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6581,30,5,Southern Slopes (Tasmania),rare,8.53,13.95,10.85,24.03,27.91,14.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6614,30,5,Southern Slopes (Tasmania),rare,8.27,12.03,24.81,11.28,22.56,21.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6619,30,5,Southern Slopes (Tasmania),rare,11.2,8.39,20.98,27.97,15.38,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
