time,wl-21,wl-21_catchment,wl-2,wl-2_catchment,wl-19,wl-19_catchment
2020-02-12 10:50:00,24.0,5837.738027877615,-63.45454500000005,5837.738027877615,26.545454999999947,5837.738027877615
2020-02-12 10:55:00,24.0,5785.121696849675,-63.45454500000005,5785.121696849675,26.545454999999947,5785.121696849675
2020-02-12 11:00:00,24.0,5731.210879085717,-63.45454500000005,5731.210879085717,26.545454999999947,5731.210879085717
2020-02-12 11:05:00,24.0,5676.138849447061,-63.45454500000005,5676.138849447061,26.545454999999947,5676.138849447061
2020-02-12 11:10:00,24.0,5620.031802496622,-63.45454500000005,5620.031802496622,26.545454999999947,5620.031802496622
2020-02-12 11:15:00,24.0,5563.009079999485,-63.45454500000005,5563.009079999485,26.545454999999947,5563.009079999485
2020-02-12 11:20:00,24.0,5505.183409779789,-63.45454500000005,5505.183409779789,26.545454999999947,5505.183409779789
2020-02-12 11:25:00,24.0,5446.661151845926,-63.45454500000005,5446.661151845926,26.545454999999947,5446.661151845926
2020-02-12 11:30:00,24.0,6138.109284764318,-63.45454500000005,6138.109284764318,26.545454999999947,6138.109284764318
2020-02-12 11:35:00,520.333333,6100.368237308821,526.583333,6100.368237308821,391.08333300000004,6100.368237308821
2020-02-12 11:40:00,520.333333,6066.417813718313,526.583333,6066.417813718313,391.08333300000004,6066.417813718313
2020-02-12 11:45:00,520.333333,6035.3422534935125,526.583333,6035.3422534935125,391.08333300000004,6035.3422534935125
2020-02-12 11:50:00,520.333333,6006.357008267414,526.583333,6006.357008267414,391.08333300000004,6006.357008267414
2020-02-12 11:55:00,520.333333,5978.79326960011,526.583333,5978.79326960011,391.08333300000004,5978.79326960011
2020-02-12 12:00:00,520.333333,5952.0842945204295,526.583333,5952.0842945204295,391.08333300000004,5952.0842945204295
2020-02-12 12:05:00,520.333333,6304.102823972204,526.583333,6304.102823972204,391.08333300000004,6304.102823972204
2020-02-12 12:10:00,520.333333,6292.101221471886,526.583333,6292.101221471886,391.08333300000004,6292.101221471886
2020-02-12 12:15:00,520.333333,6282.038818243167,526.583333,6282.038818243167,391.08333300000004,6282.038818243167
2020-02-12 12:20:00,520.333333,6273.017231989026,526.583333,6273.017231989026,391.08333300000004,6273.017231989026
2020-02-12 12:25:00,520.333333,6264.284221874109,526.583333,6264.284221874109,391.08333300000004,6264.284221874109
2020-02-12 12:30:00,520.333333,6255.216563073401,526.583333,6255.216563073401,391.08333300000004,6255.216563073401
2020-02-12 12:35:00,520.333333,6245.304274480003,526.583333,6245.304274480003,391.08333300000004,6245.304274480003
2020-02-12 12:40:00,520.333333,6234.136249459994,526.583333,6234.136249459994,391.08333300000004,6234.136249459994
2020-02-12 12:45:00,520.333333,6221.387282580824,526.583333,6221.387282580824,391.08333300000004,6221.387282580824
2020-02-12 12:50:00,520.333333,6206.806442688684,526.583333,6206.806442688684,391.08333300000004,6206.806442688684
2020-02-12 12:55:00,520.333333,6190.206714148674,526.583333,6190.206714148674,391.08333300000004,6190.206714148674
2020-02-12 13:00:00,520.333333,6171.4558114209085,526.583333,6171.4558114209085,391.08333300000004,6171.4558114209085
2020-02-12 13:05:00,520.333333,6150.46806478068,526.583333,6150.46806478068,391.08333300000004,6150.46806478068
2020-02-12 13:10:00,520.333333,6127.197274300177,526.583333,6127.197274300177,391.08333300000004,6127.197274300177
2020-02-12 13:15:00,520.333333,6101.630432945458,526.583333,6101.630432945458,391.08333300000004,6101.630432945458
2020-02-12 13:20:00,520.333333,6073.782226023723,526.583333,6073.782226023723,391.08333300000004,6073.782226023723
2020-02-12 13:25:00,520.333333,6043.690221924436,526.583333,6043.690221924436,391.08333300000004,6043.690221924436
2020-02-12 13:30:00,520.333333,6011.41067722157,526.583333,6011.41067722157,391.08333300000004,6011.41067722157
2020-02-12 13:35:00,520.333333,5977.014887156826,526.583333,5977.014887156826,391.08333300000004,5977.014887156826
2020-02-12 13:40:00,520.333333,5940.586019964194,526.583333,5940.586019964194,391.08333300000004,5940.586019964194
